onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	2	1.111	2
15	1	1	2	2	1	1	0.984	4
18	1	1	3	2	1	1	0.903	3
21	1	1	4	2	2	1	1.04	1
24	1	1	5	2	2	2	0.822	1
27	1	1	6	2	1	2	0.859	3
30	1	1	7	2	2	1	0.966	1
33	1	1	8	2	2	2	0.987	3
36	1	1	9	2	2	1	0.919	1
39	1	1	10	2	1	2	1.114	3
42	1	1	11	2	1	1	0.895	3
45	1	1	12	2	1	2	1.021	3
63	1	2	1	3	2	1	1.322	3
66	1	2	2	3	2	2	1.345	1
69	1	2	3	3	1	2	1.069	3
72	1	2	4	3	2	1	0.945	1
75	1	2	5	3	2	1	0.635	1
78	1	2	6	3	2	2	0.821	1
81	1	2	7	3	2	2	1.04	2
84	1	2	8	3	1	1	0.777	3
87	1	2	9	3	1	2	 n/a	 n/a
90	1	2	10	3	1	1	1.267	4
93	1	2	11	3	1	1	0.475	3
96	1	2	12	3	1	2	0.707	4
114	1	3	1	1	1	1	0.864	1
117	1	3	2	1	1	2	1.117	2
120	1	3	3	1	2	1	1.123	3
123	1	3	4	1	2	1	0.791	1
126	1	3	5	1	2	2	0.934	4
129	1	3	6	1	1	2	0.938	4
132	1	3	7	1	2	1	1.035	3
135	1	3	8	1	2	2	0.973	2
138	1	3	9	1	1	1	0.967	2
141	1	3	10	1	2	2	1.524	3
144	1	3	11	1	1	2	0.773	4
147	1	3	12	1	1	1	0.983	4
165	1	4	1	2	1	2	0.969	3
168	1	4	2	2	2	1	1.084	2
171	1	4	3	2	2	1	0.867	1
174	1	4	4	2	1	2	1.221	3
177	1	4	5	2	1	1	1.047	3
180	1	4	6	2	1	1	1.025	2
183	1	4	7	2	2	2	0.983	3
186	1	4	8	2	2	2	1.447	3
189	1	4	9	2	1	2	0.916	3
192	1	4	10	2	2	2	1.129	2
195	1	4	11	2	1	1	 n/a	 n/a
198	1	4	12	2	2	1	1.096	2
216	1	5	1	3	2	2	0.842	1
219	1	5	2	3	2	2	1.031	2
222	1	5	3	3	1	1	0.793	4
225	1	5	4	3	1	2	0.837	4
228	1	5	5	3	1	1	0.74	4
231	1	5	6	3	2	1	0.752	1
234	1	5	7	3	1	2	0.731	4
237	1	5	8	3	1	1	0.646	4
240	1	5	9	3	2	1	0.73	1
243	1	5	10	3	2	2	0.941	1
246	1	5	11	3	1	2	0.868	4
249	1	5	12	3	2	1	0.871	1
267	1	6	1	1	2	1	1.059	2
270	1	6	2	1	2	2	0.91	3
273	1	6	3	1	1	2	1.111	4
276	1	6	4	1	1	1	0.798	4
279	1	6	5	1	1	2	0.936	4
282	1	6	6	1	2	1	0.943	4
285	1	6	7	1	2	2	1.056	2
288	1	6	8	1	1	2	1.093	2
291	1	6	9	1	1	1	0.984	2
294	1	6	10	1	1	1	1.561	2
297	1	6	11	1	2	2	0.875	4
300	1	6	12	1	2	1	0.981	2
