onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	1.453	3
15	1	1	2	1	2	2	1.933	2
18	1	1	3	1	2	1	1.893	1
21	1	1	4	1	1	2	1.78	2
24	1	1	5	1	1	1	 n/a	 n/a
27	1	1	6	1	2	1	 n/a	 n/a
30	1	1	7	1	1	1	1.993	3
33	1	1	8	1	1	1	1.914	2
36	1	1	9	1	2	2	 n/a	 n/a
39	1	1	10	1	1	2	 n/a	 n/a
42	1	1	11	1	2	1	 n/a	 n/a
45	1	1	12	1	2	2	 n/a	 n/a
63	1	2	1	2	1	2	1.274	2
66	1	2	2	2	2	2	 n/a	 n/a
69	1	2	3	2	2	2	 n/a	 n/a
72	1	2	4	2	2	1	1.966	4
75	1	2	5	2	1	2	1.849	3
78	1	2	6	2	2	1	 n/a	 n/a
81	1	2	7	2	1	1	1.898	1
84	1	2	8	2	2	1	 n/a	 n/a
87	1	2	9	2	2	2	 n/a	 n/a
90	1	2	10	2	1	1	 n/a	 n/a
93	1	2	11	2	1	1	1.711	1
96	1	2	12	2	1	2	1.881	2
114	1	3	1	1	1	1	1.952	3
117	1	3	2	1	2	1	 n/a	 n/a
120	1	3	3	1	2	1	1.914	1
123	1	3	4	1	2	1	 n/a	 n/a
126	1	3	5	1	1	2	1.91	2
129	1	3	6	1	1	1	1.606	3
132	1	3	7	1	1	2	1.574	2
135	1	3	8	1	2	2	1.732	2
138	1	3	9	1	2	2	 n/a	 n/a
141	1	3	10	1	1	2	1.816	3
144	1	3	11	1	2	2	1.593	2
147	1	3	12	1	1	1	 n/a	 n/a
165	1	4	1	2	2	1	 n/a	 n/a
168	1	4	2	2	2	1	1.806	4
171	1	4	3	2	1	2	1.795	1
174	1	4	4	2	1	2	1.649	3
177	1	4	5	2	2	2	1.71	4
180	1	4	6	2	1	1	 n/a	 n/a
183	1	4	7	2	2	2	 n/a	 n/a
186	1	4	8	2	1	2	1.977	1
189	1	4	9	2	2	2	 n/a	 n/a
192	1	4	10	2	2	1	 n/a	 n/a
195	1	4	11	2	1	1	 n/a	 n/a
198	1	4	12	2	1	1	1.844	1
