onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	3	1	1	0.799	4
15	1	1	2	3	1	2	0.649	4
18	1	1	3	3	2	2	0.796	1
21	1	1	4	3	2	2	0.825	1
24	1	1	5	3	1	2	0.624	4
27	1	1	6	3	2	2	0.667	1
30	1	1	7	3	2	1	0.796	1
33	1	1	8	3	1	1	0.689	4
36	1	1	9	3	2	1	0.633	1
39	1	1	10	3	2	1	0.619	1
42	1	1	11	3	1	2	0.865	4
45	1	1	12	3	1	1	0.6	4
63	1	2	1	2	1	1	1.25	2
66	1	2	2	2	1	2	1.031	1
69	1	2	3	2	2	1	0.855	4
72	1	2	4	2	2	1	0.822	3
75	1	2	5	2	2	2	1.02	2
78	1	2	6	2	1	1	1.54	3
81	1	2	7	2	1	1	0.585	4
84	1	2	8	2	1	2	1.495	1
87	1	2	9	2	2	2	0.847	4
90	1	2	10	2	1	2	0.86	1
93	1	2	11	2	2	2	1.852	2
96	1	2	12	2	2	1	0.972	4
114	1	3	1	1	1	1	1.052	4
117	1	3	2	1	1	2	0.998	3
120	1	3	3	1	2	1	1.443	2
123	1	3	4	1	2	2	1.087	4
126	1	3	5	1	2	2	1.087	2
129	1	3	6	1	1	2	0.966	3
132	1	3	7	1	1	1	1.232	2
135	1	3	8	1	1	1	1.583	3
138	1	3	9	1	2	1	1.325	2
141	1	3	10	1	2	1	0.966	1
144	1	3	11	1	2	2	1.087	3
147	1	3	12	1	1	2	0.922	1
165	1	4	1	3	1	2	0.611	4
168	1	4	2	3	2	2	0.654	1
171	1	4	3	3	2	1	1.046	2
174	1	4	4	3	1	1	0.74	4
177	1	4	5	3	1	1	1.682	3
180	1	4	6	3	2	1	0.867	1
183	1	4	7	3	1	2	0.645	4
186	1	4	8	3	1	1	0.571	4
189	1	4	9	3	2	2	0.769	1
192	1	4	10	3	2	1	1.045	2
195	1	4	11	3	2	2	0.671	1
198	1	4	12	3	1	2	0.527	4
216	1	5	1	1	2	1	1.348	2
219	1	5	2	1	1	1	1.238	3
222	1	5	3	1	1	1	0.836	4
225	1	5	4	1	1	2	0.681	3
228	1	5	5	1	2	1	1.205	2
231	1	5	6	1	2	2	0.912	1
234	1	5	7	1	2	2	0.749	1
237	1	5	8	1	2	1	0.829	3
240	1	5	9	1	2	2	1.738	2
243	1	5	10	1	1	2	1.33	2
246	1	5	11	1	1	2	0.965	3
249	1	5	12	1	1	1	1.21	1
267	1	6	1	2	2	2	1.283	2
270	1	6	2	2	1	1	1.183	4
273	1	6	3	2	2	2	1.362	3
276	1	6	4	2	2	1	1.425	3
279	1	6	5	2	2	1	1.428	2
282	1	6	6	2	1	1	0.73	1
285	1	6	7	2	2	1	1.138	3
288	1	6	8	2	1	2	1.034	1
291	1	6	9	2	1	2	1.31	3
294	1	6	10	2	1	2	0.791	3
297	1	6	11	2	2	2	1.564	3
300	1	6	12	2	1	1	1.118	1
